s,n,n_topologies,n_sequences,Cstar_numerator,Cstar_denominator,Cstar_float,Cstar_log2,Cstar_kstar,Cstar_b_at_kstar,generic_factor_bound,generic_log2_bound,elapsed_s
2,8,16,256,38,11,3.4545454545454546,1.7884958948062883,38,11,16,4.0,0.012
2,10,16,1024,236,65,3.6307692307692307,1.8602752363333868,236,65,16,4.0,0.025
2,12,16,4096,219,50,4.38,2.130930869826449,438,100,16,4.0,0.086
2,14,16,16384,119,27,4.407407407407407,2.139930261144475,476,108,16,4.0,0.37
2,16,16,65536,1011,199,5.080402010050252,2.344942661359366,2022,398,16,4.0,1.493
2,18,16,262144,760,153,4.967320261437909,2.312467765638296,760,153,16,4.0,7.086
2,20,16,1048576,11446,2131,5.371187236039418,2.4252410137662657,11446,2131,16,4.0,33.095
3,8,729,256,19,2,9.5,3.2479275134435857,152,16,729,9.509775004326936,0.479
3,10,729,1024,154,13,11.846153846153847,3.5663468225538093,154,13,729,9.509775004326936,1.229
3,12,729,4096,242,17,14.235294117647058,3.831400396024255,242,17,729,9.509775004326936,4.14
3,14,729,16384,46,3,15.333333333333334,3.9385994553358565,322,21,729,9.509775004326936,17.605
